name,ring,quadrant,isNew,description
Linux,Adopt,Platforms,FALSE,<p>Open source Unix-like operating system kernel widely used for servers and infrastructure - <a href='https://www.linux.org/'>Docs</a></p>  
Python,Adopt,Languages & Frameworks,FALSE,<p>Interpreted high-level general-purpose programming language - <a href='https://docs.python.org/3/'>Docs</a></p>
Bash 5,Hold,Languages & Frameworks,FALSE,<p>Unix shell and command language for interacting with operating systems - <a href='https://www.gnu.org/software/bash/manual/html_node/index.html'>Docs</a></p>
PostgreSQL,Adopt,Platforms,TRUE,<p>Powerful open source object-relational SQL database system - <a href='https://www.postgresql.org/docs/'>Docs</a></p>   
Solr 7,Hold,Platforms,FALSE,<p>Mature version of the Apache Solr enterprise search platform - <a href='https://solr.apache.org/guide/7_7/'>Docs</a></p>  
Solr 9,Trial,Platforms,TRUE,<p>Latest version of the Apache Solr search engine platform - <a href='https://solr.apache.org/guide/9_0/'>Docs</a></p>
Redis,Adopt,Platforms,FALSE,<p>In-memory data structure store used as a database and cache - <a href='https://redis.io/documentation'>Docs</a></p>  
ElasticSearch,Adopt,Platforms,TRUE,<p>Distributed RESTful search and analytics engine - <a href='https://www.elastic.co/guide/en/elasticsearch/reference/current/index.html'>Docs</a></p>
MongoDB,Adopt,Platforms,FALSE,<p>Leading document-oriented NoSQL database known for flexibility and scalability - <a href='https://docs.mongodb.com/'>Docs</a></p>  
Kafka,Adopt,Platforms,FALSE,<p>Distributed streaming platform for building real-time data pipelines - <a href='https://kafka.apache.org/documentation/'>Docs</a></p> 
Prometheus,Adopt,Platforms,FALSE,<p>Cloud native monitoring system and time series database - <a href='https://prometheus.io/docs/introduction/overview/'>Docs</a></p>  
MySQL,Hold,Platforms,FALSE,<p>Legacy open source relational database management system - <a href='https://dev.mysql.com/doc/'>Docs</a></p>
VictoriaMetrics,Adopt,Platforms,TRUE,<p>High-performance monitoring database optimized for time series data - <a href='https://victoriametrics.github.io/'>Docs</a></p>   
Clickhouse,Trial,Platforms,FALSE,<p>Column-oriented analytical database management system - <a href='https://clickhouse.com/docs/en/'>Docs</a></p>  
Kubernetes,Adopt,Platforms,FALSE,<p>Open source container orchestration system for automating app deployment and operations - <a href='https://kubernetes.io/docs/home/'>Docs</a></p>  
Jenkins,Hold,Tools,FALSE,<p>Established open source automation server for CI/CD pipelines - <a href='https://www.jenkins.io/doc/'>Docs</a></p>   
nginx,Adopt,Tools,FALSE,<p>High performance web server and reverse proxy - <a href='https://nginx.org/en/docs/'>Docs</a></p>
NGINX Plus,Adopt,Tools,FALSE,<p>Commercial web server load balancer and API gateway based on NGINX - <a href='https://docs.nginx.com/nginx/'>Docs</a></p>  
Alertmanager,Adopt,Tools,FALSE,<p>Prometheus alerting and notification routing component - <a href='https://prometheus.io/docs/alerting/latest/alertmanager/'>Docs</a></p>
Docker,Adopt,Tools,FALSE,<p>Leading software container platform for building and distributing applications - <a href='https://docs.docker.com/'>Docs</a></p>  
ESXi,Adopt,Tools,FALSE,<p>Bare-metal hypervisor for virtualized server infrastructure from VMware - <a href='https://docs.vmware.com/en/VMware-vSphere/7.0/com.vmware.esxi.install.doc/GUID-F02D0C2D-B226-4908-9E5C-2E783D41FE2D.html'>Docs</a></p>   
Vcenter,Adopt,Tools,FALSE,<p>VMware vSphere management platform for virtual infrastructure - <a href='https://docs.vmware.com/en/VMware-vSphere/7.0/com.vmware.vsphere.monitoring.doc/GUID-9B24B2B0-A5FF-451C-ACD8-4DCCDCC9A8F6.html'>Docs</a></p>  
